"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov"
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0510640182690779,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0549495159637048,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0607047941099399,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0571528458597133,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0814180901225197,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0487503269079156,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0743985193359162,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0485172423359652,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0201726442889361,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0695085846832101,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.012388758008277,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0385723444914666,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.00397861784892478,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0111732677043537,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0216316066013767,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0203886539393479,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0149877430413035,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.00236870611889233,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.0153526553751738,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","dens","B","all","all",0.00874465363647357,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.108687805943008,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.123311887399016,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.111930823310115,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.181653882184688,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.153758976049142,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.116259941438578,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.193560468072844,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.140050204368354,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.200122820578717,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.0616271234917204,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.214647978746751,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.153293615782853,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.152973257073264,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.18053295663748,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.218445184985812,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.165691479164069,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.189328874398535,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.151150442649214,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.184467403304923,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","fallR","A","all","all",0.172389937013138,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.283783496330916,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.163928878628799,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.262487160675425,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.24935732848046,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.235835811903626,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.292487139043176,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.267892378880458,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.265125541486214,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.254140035008781,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.245486954861409,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.120654333178532,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.149720862733505,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.160174602676189,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.172394728637727,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.165283790560284,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.185308670482303,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.207170959781002,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.141816937590367,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.166422888559604,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","prevwinterT","A","all","all",0.180572590841082,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.150267712866498,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.200071193700324,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.177248102877,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.130569249144405,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.152794213719692,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.214910615254406,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.185749628267192,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.167757536534697,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.147050133844615,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.178037390576062,0
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.0508019524987679,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.139818219743963,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.0527861161599999,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.131785207507659,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.160871606805236,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.163900428997428,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.17590007423542,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.155975491729352,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.131428499306423,1
"Conquet et al. in prep.","2024","Plants","Drosophyllum lusitanicum","Europe","summerT","A","all","all",0.171196794209487,1
