"","sens","driver","vital.rate"
"1",0.220319280303192,"temp","all"
"2",0.301099127213102,"temp","all"
"3",0.366616902658322,"temp","all"
"4",0.26139687728879,"temp","all"
"5",0.276042547236192,"temp","all"
"6",0.32901071587326,"temp","all"
"7",0.324936721187202,"temp","all"
"8",0.19180117152235,"temp","all"
"9",0.270450699587567,"temp","all"
"10",0.27681279333175,"temp","all"
"11",0.263991194111687,"temp","all"
"12",0.22628779754428,"temp","all"
"13",0.188304856324573,"temp","all"
"14",0.286985130174171,"temp","all"
"15",0.272085073543676,"temp","all"
"16",0.259566754858361,"temp","all"
"17",0.18759209205824,"temp","all"
"18",0.233818607748342,"temp","all"
"19",0.289392619997986,"temp","all"
"20",0.318374132546694,"temp","all"
"21",0.236182989493678,"temp","all"
"22",0.266135942822133,"temp","all"
"23",0.255729858015384,"temp","all"
"24",0.320524295464783,"temp","all"
"25",0.275968299252094,"temp","all"
"26",0.284440701835109,"temp","all"
"27",0.330542478698845,"temp","all"
"28",0.267644130186804,"temp","all"
"29",0.243637266107592,"temp","all"
"30",0.315816909182513,"temp","all"
"31",0.332398056580363,"temp","all"
"32",0.329029785481524,"temp","all"
"33",0.289424782914803,"temp","all"
"34",0.222568800941936,"temp","all"
"35",0.266996705478939,"temp","all"
"36",0.319416970980299,"temp","all"
"37",0.235353274698689,"temp","all"
"38",0.314795098369194,"temp","all"
"39",0.301301904168252,"temp","all"
"40",0.29500977271495,"temp","all"
"41",0.343411755022166,"temp","all"
"42",0.252500824542413,"temp","all"
"43",0.255680727821637,"temp","all"
"44",0.234163805572999,"temp","all"
"45",0.20354221155093,"temp","all"
"46",0.257628972768999,"temp","all"
"47",0.340876616279187,"temp","all"
"48",0.201972586585436,"temp","all"
"49",0.23729113140821,"temp","all"
"50",0.282897161288583,"temp","all"
"51",0.278044747599298,"temp","all"
"52",0.270750600810023,"temp","all"
"53",0.318112864998066,"temp","all"
"54",0.296184631538219,"temp","all"
"55",0.332671252239119,"temp","all"
"56",0.313664000419843,"temp","all"
"57",0.295908309088594,"temp","all"
"58",0.243735269356436,"temp","all"
"59",0.397598661290294,"temp","all"
"60",0.274586406042649,"temp","all"
"61",0.290676363509261,"temp","all"
"62",0.290607077198652,"temp","all"
"63",0.342812840871457,"temp","all"
"64",0.271158767852029,"temp","all"
"65",0.260510082466411,"temp","all"
"66",0.285819859885972,"temp","all"
"67",0.264333572262645,"temp","all"
"68",0.271886977520734,"temp","all"
"69",0.26299920788279,"temp","all"
"70",0.293522282639576,"temp","all"
"71",0.215551626789347,"temp","all"
"72",0.304167852840313,"temp","all"
"73",0.363965554039608,"temp","all"
"74",0.27983002364367,"temp","all"
"75",0.227225678104971,"temp","all"
"76",0.315364956830281,"temp","all"
"77",0.384401539125911,"temp","all"
"78",0.229843861215119,"temp","all"
"79",0.305059478992882,"temp","all"
"80",0.214566406233491,"temp","all"
"81",0.232783386599237,"temp","all"
"82",0.300779061695964,"temp","all"
"83",0.321181149739811,"temp","all"
"84",0.235528095360741,"temp","all"
"85",0.322141689079785,"temp","all"
"86",0.328129881570201,"temp","all"
"87",0.265715129662363,"temp","all"
"88",0.352489387333667,"temp","all"
"89",0.264698130787755,"temp","all"
"90",0.27118054123086,"temp","all"
"91",0.329928986737553,"temp","all"
"92",0.227155253437414,"temp","all"
"93",0.355924636027626,"temp","all"
"94",0.312981659818025,"temp","all"
"95",0.285785647623134,"temp","all"
"96",0.272436436059737,"temp","all"
"97",0.270834492071544,"temp","all"
"98",0.232334024820703,"temp","all"
"99",0.200872652750457,"temp","all"
"100",0.292067369010458,"temp","all"
"101",0.192839572599202,"temp","all with cov"
"102",0.245907887337941,"temp","all with cov"
"103",0.281350058282521,"temp","all with cov"
"104",0.211475577833835,"temp","all with cov"
"105",0.147943909151892,"temp","all with cov"
"106",0.195240968644086,"temp","all with cov"
"107",0.265102710444319,"temp","all with cov"
"108",0.0674206742840987,"temp","all with cov"
"109",0.183653364098187,"temp","all with cov"
"110",0.200757131289689,"temp","all with cov"
"111",0.167489628684332,"temp","all with cov"
"112",0.190173527710382,"temp","all with cov"
"113",0.088739679371194,"temp","all with cov"
"114",0.219765304151217,"temp","all with cov"
"115",0.14717241387014,"temp","all with cov"
"116",0.168219389042212,"temp","all with cov"
"117",0.00714025495646886,"temp","all with cov"
"118",0.156848600766436,"temp","all with cov"
"119",0.201252748288597,"temp","all with cov"
"120",0.190399088404284,"temp","all with cov"
"121",0.186366615675459,"temp","all with cov"
"122",0.2001086669128,"temp","all with cov"
"123",0.15238211310025,"temp","all with cov"
"124",0.230598008480172,"temp","all with cov"
"125",0.223315056540915,"temp","all with cov"
"126",0.243740152492596,"temp","all with cov"
"127",0.256889483323797,"temp","all with cov"
"128",0.189050970064065,"temp","all with cov"
"129",0.197816050077937,"temp","all with cov"
"130",0.265201649648755,"temp","all with cov"
"131",0.227299175069457,"temp","all with cov"
"132",0.22587047901188,"temp","all with cov"
"133",0.254746609137116,"temp","all with cov"
"134",0.139873545185836,"temp","all with cov"
"135",0.2135359698562,"temp","all with cov"
"136",0.275147620402752,"temp","all with cov"
"137",0.128273735509415,"temp","all with cov"
"138",0.235800138366723,"temp","all with cov"
"139",0.227881223448951,"temp","all with cov"
"140",0.251258414448434,"temp","all with cov"
"141",0.254291089219998,"temp","all with cov"
"142",0.171392819981147,"temp","all with cov"
"143",0.161917496891278,"temp","all with cov"
"144",0.161557571356666,"temp","all with cov"
"145",0.114093858142029,"temp","all with cov"
"146",0.220022904970632,"temp","all with cov"
"147",0.257455125520214,"temp","all with cov"
"148",0.127166289146071,"temp","all with cov"
"149",0.1737018503248,"temp","all with cov"
"150",0.231293235954018,"temp","all with cov"
"151",0.202002281765278,"temp","all with cov"
"152",0.204592170200833,"temp","all with cov"
"153",0.282745208349724,"temp","all with cov"
"154",0.212056091474653,"temp","all with cov"
"155",0.288930070987528,"temp","all with cov"
"156",0.241334362933664,"temp","all with cov"
"157",0.203976934775617,"temp","all with cov"
"158",0.17496399253857,"temp","all with cov"
"159",0.353998147896134,"temp","all with cov"
"160",0.183439015214838,"temp","all with cov"
"161",0.200047952801526,"temp","all with cov"
"162",0.168987621000817,"temp","all with cov"
"163",0.23266210585169,"temp","all with cov"
"164",0.233905367503223,"temp","all with cov"
"165",0.1632550757734,"temp","all with cov"
"166",0.165707566628963,"temp","all with cov"
"167",0.236908951150784,"temp","all with cov"
"168",0.176921574897531,"temp","all with cov"
"169",0.181313763477441,"temp","all with cov"
"170",0.191735391141522,"temp","all with cov"
"171",0.160908169882942,"temp","all with cov"
"172",0.264647551259732,"temp","all with cov"
"173",0.27362596092122,"temp","all with cov"
"174",0.205364737922952,"temp","all with cov"
"175",0.116101358630309,"temp","all with cov"
"176",0.183307763117766,"temp","all with cov"
"177",0.332397200642193,"temp","all with cov"
"178",0.159714715888829,"temp","all with cov"
"179",0.194608819882376,"temp","all with cov"
"180",0.131147027014151,"temp","all with cov"
"181",0.0976868727414729,"temp","all with cov"
"182",0.257607794699212,"temp","all with cov"
"183",0.280802888577613,"temp","all with cov"
"184",0.0885531973422281,"temp","all with cov"
"185",0.223532743234055,"temp","all with cov"
"186",0.217212441510374,"temp","all with cov"
"187",0.194301817133399,"temp","all with cov"
"188",0.302220324204106,"temp","all with cov"
"189",0.129586704871912,"temp","all with cov"
"190",0.182364313049076,"temp","all with cov"
"191",0.253488790115939,"temp","all with cov"
"192",0.108162791095192,"temp","all with cov"
"193",0.285491461743105,"temp","all with cov"
"194",0.195795626419176,"temp","all with cov"
"195",0.249553469407007,"temp","all with cov"
"196",0.181622219768787,"temp","all with cov"
"197",0.13692683243123,"temp","all with cov"
"198",0.109734608617353,"temp","all with cov"
"199",0.0790274805812809,"temp","all with cov"
"200",0.153420311802574,"temp","all with cov"
"201",0.00331442060593091,"temp","R1"
"202",0.00422733303996567,"temp","R1"
"203",0.00901888894975797,"temp","R1"
"204",0.00624188232354152,"temp","R1"
"205",0.00392541588900702,"temp","R1"
"206",0.00825815141924434,"temp","R1"
"207",0.00882783957383708,"temp","R1"
"208",0.00112582349116386,"temp","R1"
"209",0.00440837509350769,"temp","R1"
"210",0.00490172613483782,"temp","R1"
"211",0.00522162380101705,"temp","R1"
"212",0.00233466766011553,"temp","R1"
"213",0.00197434754232488,"temp","R1"
"214",0.0058292253389706,"temp","R1"
"215",0.00308743492337483,"temp","R1"
"216",0.00349879343119465,"temp","R1"
"217",0.000219224474594235,"temp","R1"
"218",0.00186833399249546,"temp","R1"
"219",0.00579981636310628,"temp","R1"
"220",0.00554069895681229,"temp","R1"
"221",0.00230349480557862,"temp","R1"
"222",0.00421874775274158,"temp","R1"
"223",0.00395854858026995,"temp","R1"
"224",0.0068999692402299,"temp","R1"
"225",0.00334810222257162,"temp","R1"
"226",0.00635135751123127,"temp","R1"
"227",0.00740694246208729,"temp","R1"
"228",0.00588905277459342,"temp","R1"
"229",0.00329037244589195,"temp","R1"
"230",0.00616901261320529,"temp","R1"
"231",0.00690665752929512,"temp","R1"
"232",0.00891886443449021,"temp","R1"
"233",0.00989045117833433,"temp","R1"
"234",0.00244432468998788,"temp","R1"
"235",0.00404014214498859,"temp","R1"
"236",0.00843756693698612,"temp","R1"
"237",0.00256001796275105,"temp","R1"
"238",0.0109032483831014,"temp","R1"
"239",0.00683276969745677,"temp","R1"
"240",0.00589164955654909,"temp","R1"
"241",0.0116828904503224,"temp","R1"
"242",0.00314279755085256,"temp","R1"
"243",0.00366106709323699,"temp","R1"
"244",0.00234231449356743,"temp","R1"
"245",0.00175798290480575,"temp","R1"
"246",0.00685537677682725,"temp","R1"
"247",0.0098309415193278,"temp","R1"
"248",0.00197322523652575,"temp","R1"
"249",0.00140553544452886,"temp","R1"
"250",0.00717890559876158,"temp","R1"
"251",0.00432057256972027,"temp","R1"
"252",0.00479421787534663,"temp","R1"
"253",0.00867633295394259,"temp","R1"
"254",0.00666862595509979,"temp","R1"
"255",0.00731081335646697,"temp","R1"
"256",0.00838428620687144,"temp","R1"
"257",0.00443460069627656,"temp","R1"
"258",0.00319139465592769,"temp","R1"
"259",0.0170991770323564,"temp","R1"
"260",0.00515547484697622,"temp","R1"
"261",0.00707696252664857,"temp","R1"
"262",0.00305266313675102,"temp","R1"
"263",0.0101849395882778,"temp","R1"
"264",0.00817138587369722,"temp","R1"
"265",0.00378386827447818,"temp","R1"
"266",0.00436632302702761,"temp","R1"
"267",0.00297318544936848,"temp","R1"
"268",0.00430836042728426,"temp","R1"
"269",0.00508893861797583,"temp","R1"
"270",0.0042429303434938,"temp","R1"
"271",0.00288082674310344,"temp","R1"
"272",0.00748357687937422,"temp","R1"
"273",0.0147084882367277,"temp","R1"
"274",0.00454751039744493,"temp","R1"
"275",0.00153217912002274,"temp","R1"
"276",0.00902323036413999,"temp","R1"
"277",0.00906283520692294,"temp","R1"
"278",0.00254934410547092,"temp","R1"
"279",0.00436056763639166,"temp","R1"
"280",0.00291261810993441,"temp","R1"
"281",0.0042056161886276,"temp","R1"
"282",0.00940279471057423,"temp","R1"
"283",0.0138300112461561,"temp","R1"
"284",0.0020446952682478,"temp","R1"
"285",0.00494745336458912,"temp","R1"
"286",0.00622241513042331,"temp","R1"
"287",0.00545706753814506,"temp","R1"
"288",0.00894968639698661,"temp","R1"
"289",0.00378358619688531,"temp","R1"
"290",0.00401192801948746,"temp","R1"
"291",0.00863828026516553,"temp","R1"
"292",0.00188524885837109,"temp","R1"
"293",0.0119685506783434,"temp","R1"
"294",0.00715893334642268,"temp","R1"
"295",0.00455749875743897,"temp","R1"
"296",0.00443597231515226,"temp","R1"
"297",0.00478064849433401,"temp","R1"
"298",0.00288463807398302,"temp","R1"
"299",0.00313460392593555,"temp","R1"
"300",0.00456070416302057,"temp","R1"
"301",0.0248134730885019,"temp","R2"
"302",0.0374330703281642,"temp","R2"
"303",0.0218103886471089,"temp","R2"
"304",0.0339113316907041,"temp","R2"
"305",0.0342300125881056,"temp","R2"
"306",0.0359742436313353,"temp","R2"
"307",0.0401221705768669,"temp","R2"
"308",0.0391331455639537,"temp","R2"
"309",0.0354466146262291,"temp","R2"
"310",0.0368643191248196,"temp","R2"
"311",0.0358695222829457,"temp","R2"
"312",0.0289379183770323,"temp","R2"
"313",0.0413270863921016,"temp","R2"
"314",0.0322536605067714,"temp","R2"
"315",0.0266659119803765,"temp","R2"
"316",0.0346671161643136,"temp","R2"
"317",0.0652005999321012,"temp","R2"
"318",0.0307818756170418,"temp","R2"
"319",0.0372053388063694,"temp","R2"
"320",0.0302156914071828,"temp","R2"
"321",0.0290029864357323,"temp","R2"
"322",0.0298124044653746,"temp","R2"
"323",0.0419240446521967,"temp","R2"
"324",0.0312489752716563,"temp","R2"
"325",0.0275382797320924,"temp","R2"
"326",0.0327036556413663,"temp","R2"
"327",0.0316264436313564,"temp","R2"
"328",0.0392110750356243,"temp","R2"
"329",0.0318790673342173,"temp","R2"
"330",0.0306285448663873,"temp","R2"
"331",0.0328231148414721,"temp","R2"
"332",0.0412376902368851,"temp","R2"
"333",0.028032431074041,"temp","R2"
"334",0.0306148256689264,"temp","R2"
"335",0.0348797417525435,"temp","R2"
"336",0.0311097287074793,"temp","R2"
"337",0.0358912901131634,"temp","R2"
"338",0.0424845970966446,"temp","R2"
"339",0.0421609031674717,"temp","R2"
"340",0.0305015755318948,"temp","R2"
"341",0.0347954369862825,"temp","R2"
"342",0.0314294793143069,"temp","R2"
"343",0.042481134864286,"temp","R2"
"344",0.0294070788804784,"temp","R2"
"345",0.00485792879969192,"temp","R2"
"346",0.0347716511816683,"temp","R2"
"347",0.0406031869554081,"temp","R2"
"348",0.0335775896601096,"temp","R2"
"349",0.0215693219835051,"temp","R2"
"350",0.0365945133932751,"temp","R2"
"351",0.0379208592537729,"temp","R2"
"352",0.0335294845530425,"temp","R2"
"353",0.0336040380808386,"temp","R2"
"354",0.0375869023463281,"temp","R2"
"355",0.0334189777360939,"temp","R2"
"356",0.0342429337537944,"temp","R2"
"357",0.0268409630694158,"temp","R2"
"358",0.0339998247242871,"temp","R2"
"359",0.01980697703933,"temp","R2"
"360",0.0384198742623925,"temp","R2"
"361",0.0398290144960422,"temp","R2"
"362",0.0229803174390401,"temp","R2"
"363",0.0357680488360635,"temp","R2"
"364",0.0316051792465796,"temp","R2"
"365",0.0388926281471201,"temp","R2"
"366",0.0281748578026723,"temp","R2"
"367",0.022337120695714,"temp","R2"
"368",0.0317107621748733,"temp","R2"
"369",0.0321833351713993,"temp","R2"
"370",0.0287861149241895,"temp","R2"
"371",0.0318455292298567,"temp","R2"
"372",0.0316204407520096,"temp","R2"
"373",0.0419433201538463,"temp","R2"
"374",0.0310187540039996,"temp","R2"
"375",0.00332717300963188,"temp","R2"
"376",0.0434887196939674,"temp","R2"
"377",0.035645443720472,"temp","R2"
"378",0.0298244656279055,"temp","R2"
"379",0.0294308451191168,"temp","R2"
"380",0.0303053147549528,"temp","R2"
"381",0.00473862779054238,"temp","R2"
"382",0.0306019079565603,"temp","R2"
"383",0.0324445989110697,"temp","R2"
"384",0.00905002222990265,"temp","R2"
"385",0.0274541631502456,"temp","R2"
"386",0.0356264750162693,"temp","R2"
"387",0.0359134560431001,"temp","R2"
"388",0.0247320201051558,"temp","R2"
"389",0.0415764782048134,"temp","R2"
"390",0.0373687100016086,"temp","R2"
"391",0.0354063825172773,"temp","R2"
"392",0.0317387627920453,"temp","R2"
"393",0.0261737041286628,"temp","R2"
"394",0.0360561198354305,"temp","R2"
"395",0.0293948155029624,"temp","R2"
"396",0.0311817803922991,"temp","R2"
"397",0.0489772429470272,"temp","R2"
"398",0.0283239504771216,"temp","R2"
"399",0.0289092500168956,"temp","R2"
"400",0.0265707223964428,"temp","R2"
"401",0.00154582694130082,"temp","R3"
"402",0.00171264754019934,"temp","R3"
"403",0.00665560220758095,"temp","R3"
"404",0.00214108268003867,"temp","R3"
"405",0.00209639038825718,"temp","R3"
"406",0.00515033446672272,"temp","R3"
"407",0.00524749511756314,"temp","R3"
"408",0.000186796046470472,"temp","R3"
"409",0.00231917702674738,"temp","R3"
"410",0.0026270035092856,"temp","R3"
"411",0.00277505829011227,"temp","R3"
"412",0.000779283402078271,"temp","R3"
"413",0.000523020944558954,"temp","R3"
"414",0.00355219204401956,"temp","R3"
"415",0.00170329096397874,"temp","R3"
"416",0.00190184384917181,"temp","R3"
"417",0.00141491636792024,"temp","R3"
"418",0.000763743609482524,"temp","R3"
"419",0.0036150304724548,"temp","R3"
"420",0.00434003452391847,"temp","R3"
"421",0.000705733882052454,"temp","R3"
"422",0.00197598203461738,"temp","R3"
"423",0.00189099333859434,"temp","R3"
"424",0.0031687558219239,"temp","R3"
"425",0.00110797198811872,"temp","R3"
"426",0.00223671181848691,"temp","R3"
"427",0.00395190531118727,"temp","R3"
"428",0.00220118152213905,"temp","R3"
"429",0.00225537272850689,"temp","R3"
"430",0.0024534871000883,"temp","R3"
"431",0.0051461417992212,"temp","R3"
"432",0.00462316820824049,"temp","R3"
"433",0.00726510942669968,"temp","R3"
"434",0.00132822005002643,"temp","R3"
"435",0.00101375525723849,"temp","R3"
"436",0.00346021275935129,"temp","R3"
"437",0.000987560487788182,"temp","R3"
"438",0.00336468000636889,"temp","R3"
"439",0.00261340493109543,"temp","R3"
"440",0.00483011510777653,"temp","R3"
"441",0.00567078784418725,"temp","R3"
"442",0.00191202519528111,"temp","R3"
"443",0.00140496252178979,"temp","R3"
"444",0.00119054309880903,"temp","R3"
"445",0.000633507263897377,"temp","R3"
"446",0.00418377228310277,"temp","R3"
"447",0.00614477910035151,"temp","R3"
"448",0.00103976121528816,"temp","R3"
"449",0.000500209616601552,"temp","R3"
"450",0.00460217344359901,"temp","R3"
"451",0.00164422260409793,"temp","R3"
"452",0.00184026967889652,"temp","R3"
"453",0.00449032489276634,"temp","R3"
"454",0.00282014174212784,"temp","R3"
"455",0.00357356630982484,"temp","R3"
"456",0.00690657741626799,"temp","R3"
"457",0.00392790202165276,"temp","R3"
"458",0.00122691220279938,"temp","R3"
"459",0.0117017605816648,"temp","R3"
"460",0.00316146285054286,"temp","R3"
"461",0.00425443705839849,"temp","R3"
"462",0.00196737679488181,"temp","R3"
"463",0.00694213119674536,"temp","R3"
"464",0.0037629109791205,"temp","R3"
"465",0.00130697992064168,"temp","R3"
"466",0.00229305345494228,"temp","R3"
"467",0.00132065802800937,"temp","R3"
"468",0.00273066753433352,"temp","R3"
"469",0.0052048918406679,"temp","R3"
"470",0.00237709717489403,"temp","R3"
"471",0.00145816735902959,"temp","R3"
"472",0.00333122674320716,"temp","R3"
"473",0.00669379392897569,"temp","R3"
"474",0.00185081466703853,"temp","R3"
"475",0.000850550691269764,"temp","R3"
"476",0.00530285791045386,"temp","R3"
"477",0.00400647303677139,"temp","R3"
"478",0.00123671457566045,"temp","R3"
"479",0.00212199590620845,"temp","R3"
"480",0.00142328973613443,"temp","R3"
"481",0.00148160193926827,"temp","R3"
"482",0.00352858148011613,"temp","R3"
"483",0.00670124850594794,"temp","R3"
"484",0.000812200248052273,"temp","R3"
"485",0.00149437251067901,"temp","R3"
"486",0.0034046533332732,"temp","R3"
"487",0.00351287727233348,"temp","R3"
"488",0.00341204611627413,"temp","R3"
"489",0.00167027843323218,"temp","R3"
"490",0.00169838951181271,"temp","R3"
"491",0.00512719676883383,"temp","R3"
"492",0.00088588542803051,"temp","R3"
"493",0.00675293308097909,"temp","R3"
"494",0.00324990548215916,"temp","R3"
"495",0.00345752353509656,"temp","R3"
"496",0.00264190421669057,"temp","R3"
"497",0.00210893013414983,"temp","R3"
"498",0.00111826370337546,"temp","R3"
